xyz,Country,ISO3,Year,temperature
500,Guinea,GIN,2014,26.25776667
501,Guinea-Bissau,GNB,2014,27.532875
502,Guyana,GUY,2014,26.246775
503,Haiti,HTI,2014,25.41716667
504,Honduras,HND,2014,24.092925
505,Hungary,HUN,2014,12.16136083
506,Iceland,ISL,2014,3.320106667
507,India,IND,2014,24.49206667
508,Indonesia,IDN,2014,26.37901667
509,Iran,IRN,2014,18.04309083
510,Iraq,IRQ,2014,22.76655083
511,Ireland,IRL,2014,10.01926
512,Israel,ISR,2014,20.70016667
513,Italy,ITA,2014,13.36688917
514,Jamaica,JAM,2014,25.87670833
515,Japan,JPN,2014,11.271365
516,Jordan,JOR,2014,19.77100833
517,Kazakhstan,KAZ,2014,6.191800833
518,Kenya,KEN,2014,25.41145
519,Kiribati,KIR,2014,27.50574167
520,Kuwait,KWT,2014,26.32895
521,Kyrgyzstan,KGZ,2014,2.5607525
522,Laos,LAO,2014,23.962075
523,Latvia,LVA,2014,7.32358
524,Lebanon,LBN,2014,16.99117917
525,Lesotho,LSO,2014,13.77439417
526,Liberia,LBR,2014,25.716675
527,Libya,LBY,2014,23.23138333
528,Liechtenstein,LIE,2014,4.49515
529,Lithuania,LTU,2014,7.922555
530,Luxembourg,LUX,2014,11.1258175
531,MacaoSAR,China,2014,23.00856667
532,Macedonia,MKD,2014,11.19029583
533,Madagascar,MDG,2014,22.90758333
534,Malawi,MWI,2014,22.4279
535,Malaysia,MYS,2014,25.83706667
536,Maldives,MDV,2014,28.525
537,Mali,MLI,2014,28.98515833
538,Malta,MLT,2014,19.96559167
539,MarshallIs.,MHL,2014,28.29083333
540,Mauritania,MRT,2014,28.425375
541,Mauritius,MUS,2014,23.9669
542,Mexico,MEX,2014,21.3452
543,Micronesia,FSM,2014,27.41389167
544,Moldova,MDA,2014,10.93117333
545,Monaco,MCO,2014,11.32274917
546,Mongolia,MNG,2014,1.073250833
547,Montenegro,MNE,2014,10.45683167
548,Morocco,MAR,2014,18.48674167
549,Mozambique,MOZ,2014,24.25040833
550,Myanmar,MMR,2014,23.27768333
551,Namibia,NAM,2014,21.304425
552,Nauru,NRU,2014,28.56666667
553,Nepal,NPL,2014,12.48656917
554,Netherlands,NLD,2014,11.58302167
